T,D,G,Gy,Gz,A,Ay,Az,M,My,Mz,P,R,H,H_corrected
53125,598,-11.23,-3.57,2.02,-0.04,0.03,0.95,0,,-0.12,2.5,1.57,-106.08,-212.16
53256,566,0.95,-2.65,0.81,0,0.01,0.96,0,,-0.12,-0.04,0.7,-106.67,-213.34
53385,535,-5.41,-4.85,-0.1,-0.03,0.01,0.95,,,-0.12,1.69,0.9,-106.1,-212.2
53514,493,-5.12,3.93,-1.74,-0.01,0.03,0.97,0.17,0.37,-0.12,0.34,1.56,-106.23,-212.46
53571,457,-1.78,2.69,2.52,-0.05,0.05,0.99,0.17,0.37,-0.12,2.62,2.98,-106.28,-212.56
53627,447,-1.19,0.43,1,-0.01,0.03,0.98,0.17,0.37,-0.12,0.41,1.51,-106.39,-212.78
53685,410,0.11,1.62,2.96,-0.03,0.05,0.96,0.17,0.37,-0.12,1.63,2.89,-105.98,-211.96
53742,405,1.21,3.8,0.74,0,0,0.96,0.17,0.37,-0.12,0.12,3.96,-106.35,-212.7
53799,390,5.23,-3.97,-0.87,-0.04,0.03,0.93,0.17,0.37,-0.12,2.51,1.93,-106.2,-212.4
53856,362,4.66,-3.69,0.28,0.01,0.05,0.92,0.17,0.38,-0.13,-0.48,3.21,-105.59,-211.18
53913,352,1.32,-4.24,-0.1,-0.04,0.02,0.99,0.17,0.38,-0.12,2.34,1.24,-105.4,-210.8
53969,342,1.82,3.38,2.61,-0.02,0.05,1,0.16,0.38,-0.13,1.31,2.6,-104.66,-209.32
54028,315,1.96,0.54,-0.09,-0.04,0.02,1.01,0.17, ,-0.13,2.47,1.27,-104.9,-209.8
54158,289,-8.39,-1.15,-4.52,-0.07,0.01,1,0.17,0.38,-0.12,4.18,0.85,-105,-210
54288,259,-9.51,7.8,-3.45,0.01,0.06,0.98,0.18,0.38,-0.12,-0.76,3.44,-106.59,-213.18
54344,2,-10.36,-7.83,-0.12,-0.02,-0.03,0.89,0.18,0.37,-0.12,1.17,-1.62,-106.7,-213.4
54402,210,-2.3,-1.29,8.12,-0.02,0.05,0.96,0.17,0.37,-0.13,1.24,2.87,-106.39,-212.78
54459,194,-4.49,12.42,9.5,0.02,0.05,1.03,0.18,0.38,-0.12,-0.84,2.65,-106.48,-212.96
54515,179,-1.37,4.39,6.09,-0.02,0.09,1,0.18,0.37,-0.12,1.18,5.28,-106.53,-213.06
54573,166,9.26,9,2.25,-0.02,0.07,0.95,0.18,0.38,-0.12,1.45,4.12,-106.78,-213.56
54630,154,15.54,7.81,-3.74,-0.01,0.09,0.98,0.18,0.38,-0.13,0.29,5.34,-106.71,-213.42
54687,148,10.27,3.66,-2.74,0.06,0.05,0.97,0.18,0.38,-0.13,-3.28,3.07,-106.6,-213.2
54745,128,-3.72,-3.06,1.58,0.09,0.01,1.1,0.18,0.39,-0.13,-4.68,0.39,-105.89,-211.78
54801,1,-29.05,-5.42,5.69,0.03,0.05,0.91,0.18,0.38,-0.13,-1.75,2.96,-106.5,-213
54858,115,-6,0.1,7.25,-0.04,0.08,0.96,0.17,0.37,-0.13,2.28,4.93,-106.3,-212.6
54915,102,-2.34,5.11,1.06,0.04,0.06,0.91,0.18,0.37,-0.13,-2.44,3.7,-106.96,-213.92
54972,91,17.43,-2.9,-4.46,0.03,0.03,1,0.18,0.37,-0.13,-2.01,1.88,-107.05,-214.1
55029,82,17.43,-2.9,-4.46,0.01,0.02,0.99,0.18,0.38,-0.13,-0.61,0.94,-106.48,-212.96
55087,81,5.32,0.14,-2.91,0,0.02,0.99,0.18,0.38,-0.14, ,3.23,-105.98,-211.96
55215,68,12.78,-6.31,-2.4,0,0.02,0.99,0.17,0.39,-0.14,1.99,0.71,-105.14,-210.28
55346,39,12.43,1.82,-8.29,-0.02,0.02,0.96,0.17,0.39,-0.14,1.05,1.39,-104.93,-209.86
55402,39,17.67,-6.24,-1.59,0.01,-0.04,0.99,0.17,0.39,-0.15,-0.36,-2.04,-104.91,-209.82
55459,28,18.37,2.56,-2.22,-0.02,-0.07,1.02,0.17,0.39,-0.17,1.3,-4.13,-105.26,-210.52
55517,27,4.32,-4.37,-0.38,-0.06,-0.1,1.04,0.17,0.4,-0.18,3.08,-5.6,-104.51,-209.02
 ,27,-17.49,-3.62,-4.22,-0.05,-0.08,0.91,0.17,0.39,-0.18,2.86,-5.28,-104.53,-209.06
55630,29,-14.03,1.59,0.17,-0.02,-0.08,0.96,0.17,0.39,-0.18,1.16,-4.73,-105.11,-210.22
55688,20,4.45,2.99,0.71,-0.02,0,0.87,0.17,0.39,-0.18,1.11,-0.3,-105.62,-211.24
55745,22,18.86,16,6.47,-0.02,-0.04,1.02,0.18,0.39,-0.18,1.11,-2.41,-106.34,-212.68
55801,27,3.14,10.31,4.64,-0.03,-0.05,0.98,0.18,0.39,-0.2,1.85,-2.71,-106.13,-212.26
55859,21,0.43,5.73,5.66,0.04,-0.16,0.95,0.19,0.36,-0.23,-2.57,-9.35,-109.55,-219.1
55916,20,2.54,7.25,-0.28,0.03,-0.06,1,0.19,0.35,-0.23,-1.56,-3.36,-110.02,-220.04
55972,22,-16.09,1.38,1.38,0.09,-0.11,1.04,0.2,0.34,-0.24,-5.12,-6.17,-111.3,-222.6
56030,27,-16.09,1.38,1.38,-0.06,-0.08,0.85,0.2,0.31,-0.23,3.97,-5.41,-114,-228
56161,34,7.5,-6.51,3.82,-0.04,0.03,0.94,0.2,0.3,-0.23,2.55,1.85,-114.94,-229.88
56290,35,-28.93,7.73,-3.8,-0.02,0.08,1.02,0.2,0.34,-0.18,1.15,4.6,-112.03,-224.06
56347,35,-6.58,-4.89,3.18,0.07,0.1,0.86,0.19,0.36,-0.15,-4.37,6.8,-109.77,-219.54
56403,36,2.25,-12.64,6.73,0.02,0.08,0.93,0.18,0.39,-0.11,-1.31,5.15,-106.66,-213.32
