T,D,L,Ly,G,Gy,Gz,A,Ay,Az,M,My,Mz,P,R,H,
89182,793,,,-5.99,-10.17,7.68,0.02,0.06,0.95,0.21,0.04,-0.56,3.66,-1.34,-322.97,*7A
89239,793,,,-9.06,-9.9,8.93,-0.02,0.07,0.94,0.2,0.04,-0.55,4.5,0.96,-319.1,*7A
89295,793,,,-6.76,-2.35,7.9,-0.02,0.09,0.95,0.18,0.05,-0.54,5.68,1.39,-314.77,*7A
89353,793,,,-1.51,-2.67,13.97,-0.01,0.1,0.95,0.17,0.05,-0.55,6.07,0.38,-308.93,*7A
89410,793,,,-1.51,-2.67,13.97,-0.02,0.04,0.99,0.14,0.05,-0.54,2.56,0.94,-304.21,*7A
89540,793,,,-4.71,-8.17,1.51,-0.11,0.09,0.96,0.11,0.04,-0.55,5.13,6.74,-301.46,*7A
89613,793,GPGGA,190705,-7.3,-3.44,-3.7,-0.1,0.08,0.95,0.1,0.03,-0.57,4.73,5.75,-304.93,*7A
89671,793,,,-4.52,-4.09,-0.72,-0.1,0.1,0.98,0.1,0.02,-0.57,5.63,6.03,-314.92,*7A
89728,793,,,-1.27,-12.41,1.01,-0.15,0.09,0.95,0.09,0.02,-0.57,5.21,9.07,-321.97,*7A
89785,793,,,2.83,-7.69,-0.55,-0.12,0.09,0.96,0.09,0.01,-0.57,5.18,7.22,-326.23,*7A
89842,793,,,5.11,-10.68,4.41,-0.13,0.09,0.95,0.08,0.01,-0.57,5.43,7.63,-322.38,*7A
89899,793,,,1.23,-4.73,3.01,-0.15,0.08,0.98,0.07,0.01,-0.57,4.57,8.43,-328.31,*7A
89956,793,,,5.09,-6.33,0.95,-0.14,0.1,0.94,0.07,0.01,-0.57,6.16,8.48,-328.04,*7A
90012,793,,,4.17,-14.63,-2.71,-0.17,0.12,0.9,0.07,0.01,-0.57,7.49,10.85,-321.52,*7A
90070,793,,,3.36,-11.52,-2.43,-0.15,0.1,1,0.07,0.01,-0.57,5.89,8.39,-323.85,*7A
90127,793,,,1,-3.59,3.89,-0.14,0.11,0.95,0.07,0.01,-0.56,6.37,8.29,-328.08,*7A
90183,793,,,1.9,-1.86,8.59,-0.21,0.08,0.93,0.07,0.02,-0.56,4.59,12.45,-317.35,*7A
90241,793,,,0.2,-1.86,8.59,-0.18,0.07,0.96,0.07,0.01,-0.55,4.39,10.69,-320.39,*7A
90298,793,,,-1.2,6.26,6.33,-0.17,0.05,0.99,0.08,0.01,-0.55,3.06,9.73,-322.23,*7A
90354,793,,,-2.75,7.65,-0.61,-0.19,0.03,0.96,0.08,0.02,-0.55,1.93,10.99,-321.18,*7A
90413,793,,,-0.95,6.53,0.12,-0.19,0.03,0.96,0.09,0.01,-0.55,2.96,10.14,-,*7A
90544,793,,,-0.74,4.14,-5.79,-0.12,0.06,0.95,0.1,0.01,-0.55,3.87,7.32,-325.72,*7A
90614,793,GPGGA,190706.3,3.26,11.26,-4.73,-0.16,0.08,0.99,0.1,0.02,-0.55,4.59,8.9,-325.83,*7A
90672,793,,,4.88,7.34,-11.39,-0.13,0.08,0.96,0.11,0.01,-0.55,4.94,7.84,-329.5,*7A
90729,793,,,13.36,1.02,-1.79,-0.14,-0.01,0.96,0.11,0.02,-0.54,-0.46,8.01,-322.05,*7A
90786,793,,,12.47,5.69,-7.51,-0.12,0.09,0.91,0.11,0.03,-0.54,5.87,7.59,-315.15,*7A
90843,793,,,-3.99,10.72,1.16,-0.09,0.03,0.97,0.11,0.03,-0.54,1.53,5.42,-313.05,*7A
90900,793,,,-4.33,11.8,0.98,-0.12,0.03,0.95,0.11,0.03,-0.55,1.91,7.41,-316.22,*7A
90957,793,,,-9.78,10.16,-9.56,-0.16,0.05,0.99,0.12,0.03,-0.55,2.89,9.17,-316.96,*7A
91014,793,,,-1.8,-11.1,-3.7,-0.06,0.07,0.92,0.12,0.02,-0.55,4.16,3.62,-320.37,*7A
91071,793,,,-4.87,5.51,-2.34,-0.09,0.05,0.99,0.12,0.02,-0.55,2.67,4.92,-320.85,*7A
91128,793,,,-5.25,6.19,1.23,-0.09,0.03,0.96,0.12,0.02,-0.56,1.52,5.12,-323.37,*7A
91185,799,,,-4.69,2.78,-2.16,-0.1,0.05,0.97,0.12,0.02,-0.55,3.15,6.08,-323.7,*7A
91242,803,,,-2.4,-8.35,9.88,-0.06,0.07,1,0.12,0.02,-0.54,3.87,3.42,-327.48,*7A
91299,797,,,1.78,2.63,12.17,-0.12,0.08,0.93,0.12,0.02,-0.54,4.98,7.11,-322.82,*7A
91356,793,,,-2.47,-7.7,13.04,-0.08,0.09,0.94,0.12,0.03,-0.55,5.23,4.81,-317.64,*7A
91413,789,,,-5.71,1.86,15.51,-0.1,0.09,1.02,0.12,0.03,-0.55,4.96,5.45,,*7A
91545,802,,,6.26,6.48,7.5,-0.1,0.06,0.99,0.12,0.04,-0.54,3.76,5.79,-308.17,*7A
91615,781,GPGGA,190707.SG,-0.2,-10.81,-0.03,-0.17,0.04,0.92,0.11,0.04,-0.55,2.34,10.22,-304.41,*7A
91673,814,,,0.22,-1.76,4.22,-0.16,0.05,0.95,0.11,0.04,-0.54,2.95,9.57,-302.71,*7A
91730,803,,,,-1.76,4.22,-0.1,0.04,0.97,0.11,0.04,-0.54,2.53,5.7,-300.37,*7A
91787,801,,,-2.97,-3.61,8.6,-0.15,0.01,0.99,0.11,0.04,-0.53,0.5,8.8,-298.3,*7A
91844,799,,,3.8,0.82,-6.94,-0.15,0.02,0.96,0.11,0.04,-0.53,1,8.73,-300.27,*7A
91901,814,,,12.23,13.05,-5.37,-0.1,0.04,0.93,0.11,0.05,-0.53,2.22,6.26,-297.78,*7A
91958,773,,,13.65,9.98,-5.14,-0.15,0.03,0.93,0.11,0.05,-0.53,1.77,9.08,-292.12,*7A
92015,766,,,11.78,-3.97,-4.82,-0.11,0,0.98,0.12,0.05,-0.54,-0.16,6.15,-293.94,*7A
92015,809,,,-1.53,-12.74,-5.4,-0.14,-0.02,0.96,0.11,0.06,-0.54,-1.3,8.41,-290.91,*7A
92129,805,,,1.39,-13.57,-0.4,-0.17,0,0.94,0.11,0.06,-0.53,-0.18,10.01,-284.81,*7A
92186,796,,,0.45,-7.58,-3.58,-0.2,0.01,0.88,0.1,0.06,-0.53,0.7,12.51,-284.34,*7A
92243,813,,,2.87,-1.93,-8.24,-0.18,0.04,0.96,0.1,0.06,-0.53,2.11,10.38,-280.02,*7A
92301,832,,,1.56,-4.35,-0.49,-0.13,0.01,0.95,0.1,0.06,-0.53,0.47,7.9,-277.37,*7A
92357,804,,,0.43,3.74,5.11,-0.18,0.03,0.97,0.09,0.06,-0.53,1.72,10.21,-277.28,*7A
92414,815,,,-1.7,10.56,11.64,-0.15,0.05,0.98,0.1,0.06,-0.52,2.9,8.9,-,*7A
92546,818,GPGGA,19070800,-4.5,1.58,-6.92,-0.17,-0.01,0.97,0.1,0.07,-0.52,-0.47,9.77,-275.28,*7A
92652,801,,,-5.19,2.94,-5.8,-0.16,-0.01,1,0.1,0.07,-0.52,-0.33,9.07,-275.68,*7A
92709,830,,,-2.97,-7.38,-5.37,-0.14,0.01,0.97,0.11,0.06,-0.52,0.64,8.37,-285.81,*7A
92766,821,,,-3.21,-2.65,-1.02,-0.12,0.01,0.95,0.1,0.06,-0.53,0.56,7.41,-279.4,*7A
92823,836,,,-,-2.65,-1.02,-0.15,0.04,0.96,0.1,0.06,-0.53,2.43,9.14,-280.44,*7A
9,800,,,-0.37,3.78,-6.45,-0.16,0,0.92,0.1,0.07,-0.52,0.12,9.78,-276.24,*7A
92937,826,,,-7.18,13.57,-0.02,-0.12,-0.01,0.95,0.11,0.06,-0.52,-0.56,6.92,-285.54,*7A
92994,810,,,-3.29,5.41,-8.68,-0.13,0.01,0.99,0.11,0.06,-0.52,0.63,7.5,-288.42,*7A
93051,813,,,-0.03,2.97,-18.48,-0.17,-0.03,0.98,0.11,0.05,-0.53,-1.75,10.01,-291.92,*7A
93108,822,,,0.93,-5.36,-11.63,-0.12,0.03,0.93,0.11,0.06,-0.52,1.69,7.56,-290.34,*7A
93165,834,,,-2.07,4.45,9.24,-0.09,-0.01,0.97,0.11,0.05,-0.52,-0.75,5.52,-288.93,*7A
93222,847,,,-1.09,10.96,13.23,-0.16,0.02,0.99,0.11,0.06,-0.53,1.08,9.17,-291,*7A
93279,798,,,0.3,3.04,9.6,-0.08,-0.01,0.98,0.12,0.06,-0.52,-0.71,4.65,-290.14,*7A
93336,826,,,0.3,3.04,9.6,-0.14,0,0.94,0.12,0.06,-0.52,-0.06,8.47,-289.02,*7A
93393,843,,,2.15,-0.31,-10.11,-0.1,0.02,0.97,0,0.06,-0.52,1.01,6.06,-290.67,*7A
93526,,,,2.06,17.3,6.66,-0.11,0.03,1,0.12,0.06,-0.52,1.86,6.38,-289.4,*7A
93606,812,GPGGA,190709,-4.53,-3.01,-10.69,-0.12,0.02,0.91,0.13,0.07,-0.53,1.02,7.65,-288.18,*7A
93664,829,,,-13.89,-0.07,0.29,-0.09,-0.03,0.96,0.13,0.06,-0.52,-1.93,5.14,-291.14,*7A
93721,796,,,-19.21,-0.6,-3.92,-0.09,-0.05,0.96,0.13,0.05,-0.53,-2.79,5.53,-302.51,*7A
93778,819,,,-9.84,1.96,5.31,-0.13,-0.01,0.98,0.13,0.05,-0.52,-0.51,7.53,-299.37,*7A
93836,807,,,-4.06,0.99,1.86,-0.12,-0.02,0.96,0.13,0.05,-0.52,-1.03,7.24,-303.19,*7A
93892,824,,,3.42,0.81,-9.71,-0.07,0.02,0.98,0.13,0.05,-0.53,0.98,4.29,-301.46,*7A
93949,819,,,1.15,2.68,-7.36,-0.05,0.02,0.96,0.13,0.05,-0.53,0.93,3.01,-301.33,*7A
94007,867,,,4.82,-1.14,-9.19,-0.07,0.04,0.98,0.13,0.05,-0.52,2.59,3.98,-303.62,*7A
94063,840,,,3.01,6.13,0.35,-0.11,0.04,0.96,0.14,0.05,-0.52,2.59,6.84,-304.91,*7A
94120,828,,,-1.1,3.08,-6.55,-0.12,0.06,0.94,0.13,0.05,-0.52,3.62,7.56,-304.47,*7A
94177,855,,,-0.9,2.63,-11.43,-0.12,0.07,0.97,0.14,0.05,-0.53,3.86,6.78,-302.78,*7A
94234,853,,,0.86,4.35,-6.42,-0.08,0.05,0.96,0.14,0.05,-0.52,3.2,5,-304.88,*7A
94291,842,,,1.15,0.98,-3.57,-0.11,0.04,0.95,0.14,0.04,-0.52,2.53,6.45,-307.65,*7A
94348,841,,,-4.03,3.38,-0.03,-0.08,0.05,0.98,0.14,0.04,-0.52,2.9,4.79,-310.44,*7A
94405,834,,,-3.47,0.13,-0.35,,0.05,0.98,0.14,0.04,-0.52,2.63,5.23,-314,*7A
94535,832,,,0.35,2.15,-8.54,-0.04,0.07,0.96,0.14,0.04,-0.53,4.1,2.4,-314.04,*7A
94616,837,GPGGA,190710,-1.61,-1.65,-7.07,-0.08,0.08,0.96,0.14,0.03,-0.53,4.56,4.57,-316.17,*7A
94674,84,,,-4.24,-2.21,-0.03,-0.07,0.07,0.95,0.14,0.03,-0.53,4.43,4.39,-319.9,*7A
94731,854,,,-6.6,-2.17,8.24,-0.01,0.08,0.96,0.14,0.03,-0.53,4.98,0.47,-318.81,*7A
94788,842,,,-5.42,1.14,2.85,-0.05,0.09,0.96,0.14,0.03,-0.52,5.38,3.24,-318.89,*7A
94788,792,,,-5.27,4.85,4.21,-0.05,0.12,0.89,0.14,0.03,-0.53,7.55,3.47,-317.92,*7A
94902,823,,,-7.73,-1.38,-4.44,-0.12,0.06,0.96,0.14,0.02,-0.53,3.53,6.88,-324.72,*7A
94959,836,,,-6.78,-1.36,-2.57,-0.1,0.05,0.95,0.14,0.02,-0.53,2.84,5.83,-323.64,*7A
95016,844,,,-5.64,0.87,1.2,-0.07,0.07,0.97,0.14,0.02,-0.53,4.06,4.25,-330.17,*7A
95073,828,,,-1.98,-1.09,3.08,-0.11,0.08,0.96,0.14,0.02,-0.53,4.56,6.54,-329.03,*7A
95130,828,,,-2.25,1.16,5.22,-0.06,0.07,0.97,0.14,0.02,-0.53,4.03,3.66,-329.68,*7A
95186,840,,,-3.41,3.24,-1.37,-0.06,0.08,0.94,0.14,0.01,-0.53,4.67,3.91,-331.83,*7A
95244,865,,,-5.6,6.6,-3.85,-0.07,0.06,0.95,0.14,0.01,-0.53,3.3,4.02,-335.59,*7A
95301,839,,,-4.98,2.42,-3.62,-0.04,0.08,0.95,0.14,0.01,-0.53,4.82,2.66,-335.39,*7A
95357,852,,,-7.32,-1.93,2.48,-0.04,0.07,0.94,0.15,0.01,-0.53,4.16,2.13,-336.88,*7A
95415,843,,,-6.55,0.23,5.28,-0.05,0.07,0.97,0.15,0,-0.53,4.41,3.01,-342.62,*7A
95545,820,,,-2.31,-2.78,0,-0.07,0.1,0.96,0.15,0,-0.52,5.95,4.42,-340.11,*7A
95609,824,GPGGA,190711.M2,-3.3,1.97,-3.17,-0.06,0.1,0.97,0.15,0,-0.54,6.08,3.44,-343.38,*7A
95667,829,,,-3.38,-7.87,-5.16,-0.1,0.11,0.93,0.15,0.01,-0.53,6.88,5.86,-338.73,*7A
95724,842,,,-6.53,-4.75,5.42,-0.07,0.13,0.97,0.14,0,-0.53,7.35,4.29,-345.51,*7A
95781,859,,,-,-4.75,5.42,-0.09,0.13,0.98,0.15,0,-0.52,7.39,5.17,-344.8,*7A
95838,826,,,0.99,-0.9,2.76,-0.06,0.1,0.98,0.14,0,-0.52,5.96,3.31,-340.06,*7A
95895,843,,,0.99,-0.9,2.76,-0.08,0.12,0.98,0.15,0,-0.52,7.2,4.6,-345.44,*7A
95952,828,,,-0.83,-1.45,-1.84,-0.07,0.12,0.97,0.15,0,-0.52,7.23,4.07,-343.59,*7A
96009,855,,,-1.16,-1.27,-0.95,-0.08,0.14,0.95,0.15,-0.01,-0.52,8.49,4.76,-347.62,*7A
96066,816,,,-2.58,-1.56,5.5,-0.1,0.12,0.92,0.15,-0.01,-0.52,7.27,6.13,-348.65,*7A
96123,861,,,-2.58,-1.56,5.5,-0.09,0.17,0.95,0.15,-0.01,-0.53,10.34,5.59,-347.59,*7A
96180,827,,,1.45,2.64,3.44,-0.07,0.17,0.94,0.15,-0.01,-0.52,10.17,3.96,-350.1,*7A
96237,830,,,-1.68,1.15,1.23,-0.11,0.12,0.91,0.15,-0.01,-0.52,7.72,6.58,-350.13,*7A
96294,829,,,-10.57,4.21,0.09,-0.09,0.14,0.97,0.15,-0.01,-0.52,8.23,5.5,-351.12,*7A
96351,843,,,-4.9,1.9,0.8,-0.11,0.11,0.99,0.16,-0.02,-0.53,6.57,6.31,-354.13,*7A
96408,844,,,1.36,-0.11,-2.86,-0.11,0.12,0.98,0.15,-0.02,-0.53,7.13,6.1,,*7A
96541,823,,,2.61,-1.12,-0.87,-0.1,0.11,0.96,0.15,-0.01,-0.52,6.33,5.86,-352.7,*7A
96610,826,GPGGA,"190712.M
",1.91,-1.01,2.39,-0.07,0.1,0.92,0.15,-0.01,-0.51,6.47,4.26,-350.73,*7A
96667,823,,,1.69,4.07,1.92,-0.09,0.12,0.98,0.15,-0.01,-0.52,7.04,5.49,-350.93,*7A
96724,820,,,0,4.07,1.92,-0.08,0.11,0.98,0.15,-0.01,-0.52,6.23,4.73,-351.8,*7A
,852,,,1.37,2.25,-4.73,-0.13,0.12,0.95,0.16,-0.01,-0.51,7.2,7.68,-352.41,*7A
96838,840,,,-2.12,0.69,-4.21,-0.09,0.13,0.94,0.15,-0.01,-0.51,7.74,5.55,-352.24,*7A
96896,799,,,-2.56,-0.12,-0.76,-0.09,0.1,0.94,0.15,-0.01,-0.52,6.09,5.29,-353.31,*7A
96953,836,,,-0.68,0.95,-0.02,-0.11,0.11,0.93,0.16,-0.02,-0.51,6.97,6.94,-356.52,*7A
97009,844,,,0.02,1.81,-1.65,-0.1,0.14,0.96,0.16,-0.02,-0.52,7.98,5.83,-355.1,*7A
97067,841,,,-0.31,1.15,-5.96,-0.06,0.11,0.96,0.16,-0.01,-0.52,6.54,3.84,-353.17,*7A
97124,832,,,,1.15,-5.96,-0.07,0.12,0.95,0.16,-0.02,-0.52,7.12,4,-355.86,*7A
97180,846,,,-3.06,4.26,-3.78,-0.08,0.13,0.98,0.16,-0.02,-0.51,7.59,4.87,-356.87,*7A
97238,843,,,-0.75,-1.29,-0.61,-0.04,0.12,0.96,0.16,-0.02,-0.51,7.1,2.26,-358.24,*7A
97295,833,,,-2.63,-2.69,-5.54,-0.1,0.11,0.97,0.16,-0.02,-0.51,6.71,5.89,-358.12,*7A
97351,854,,,-3.49,-2.55,-2.86,-0.06,0.08,0.95,0.16,-0.02,-0.52,5.07,3.63,359.36,*7A
97409,862,,,0.53,0.96,-6.46,-0.06,0.08,0.95,0.16,-0.02,-0.51,7.51,5.14,-35,*7A
97540,866,GPGGA,19071370,0.63,2.04,-2.63,-0.09,0.11,0.93,0.17,-,-0.51,6.73,5.55,358.05,*7A
97660,867,,,-1,3.74,-6,-0.1,0.14,0.95,0.16,-0.03,-0.52,8.19,6.22,357.68,*7A
97718,828,,,3.6,-1.57,-8.23,-0.1,0.15,0.95,0.17,-0.03,-0.52,8.76,5.73,359.29,*7A
97775,855,,,-1.32,1.08,-9.77,-0.08,0.12,0.97,0.16,-0.03,-0.51,6.89,4.54,356.39,*7A
97831,838,,,-1.3,-3.09,-3.64,-0.06,0.1,0.96,0.17,-0.04,-0.5,5.75,3.33,350.87,*7A
97889,853,,,-1.15,2.53,-6.99,-0.06,0.12,1,0.16,-0.03,-0.51,7.09,3.34,354.3,*7A
97946,852,,,0.98,-3.07,-3.54,-0.06,0.11,0.95,0.16,-0.03,-0.51,6.77,3.66,355.65,*7A
98002,859,,,-1.56,0.14,-6.81,-0.1,0.11,0.93,0.16,-0.03,-0.51,6.97,6.14,355.47,*7A
98060,859,,,-0.72,2.43,-7.38,-0.07,0.12,0.95,0.16,-0.04,-0.51,7.03,4.06,346.91,*7A
98117,839,,,-2.78,1.23,-7.11,-0.07,0.1,0.97,0.16,-0.04,-0.51,6.09,4.25,348.76,*7A
98173,861,,,-3.81,-4.12,-5.07,-0.09,0.09,0.96,0.16,-0.04,-0.51,5.62,5.19,348.65,*7A
98231,854,,,-4.24,0.14,-4.5,-0.08,0.1,0.95,0.17,-0.05,-0.5,6.29,4.8,344.85,*7A
98287,837,,,-0.25,-0.3,-1.64,-0.07,0.1,0.96,0.16,-0.04,-0.51,5.73,4.12,347.52,*7A
98344,873,,,-1,-0.3,-1.64,-0.08,0.11,0.97,0.17,-0.05,-0.5,6.27,4.52,345.56,*7A
98402,859,,,-0.41,-3.84,2.52,-0.07,0.09,0.93,0.16,-0.05,-0.5,5.27,3.97,345.29,*7A
98533,846,,,-1.84,0.54,1.22,-0.07,0.1,0.94,0.17,-0.05,-0.51,5.98,4.39,343.72,*7A
98612,827,GPGGA,190714,-4.14,0.6,-,-0.06,0.13,0.98,0.16,-0.05,-0.51,7.29,3.53,342.69,*7A
9,847,,,-6.06,-1.51,1.51,-0.07,0.12,0.98,0.16,-0.05,-0.51,7.07,4.28,340.56,*7A
98831,851,,,-5.07,-0.13,-4.79,-0.11,0.12,0.94,0.16,-0.05,-0.51,7.49,6.49,341.21,*7A
98888,810,,,,-0.13,-4.79,-0.08,0.16,0.99,0.17,-0.06,-0.5,9.15,4.53,336.21,*7A
98888,871,,,1.37,-2.78,3.32,-0.1,0.15,0.95,0.17,-0.06,-0.5,9.12,6.01,339.37,*7A
99002,845,,,1.37,-2.78,3.32,-0.11,0.15,0.95,0.17,-0.06,-0.5,8.83,6.82,336.44,*7A
99059,830,,,1.55,-0.54,0.03,-0.11,0.14,0.95,0.17,-0.06,-0.5,8.44,6.58,336.42,*7A
99117,839,,,-3.22,-1.24,1.67,-0.12,0.14,0.96,0.17,-0.06,-0.5,8.58,7.12,335.88,*7A
99173,842,,,-0.75,0.24,1.16,-0.1,0.14,0.98,0.16,-0.06,-0.5,8.41,5.65,335.6,*7A
99230,840,,,,0.24,1.16,-0.11,0.14,0.95,0.16,-0.06,-0.5,8.17,6.55,334.21,*7A
99230,850,,,-2.09,-0.9,5.36,-0.11,0.13,0.95,0.16,-0.06,-0.5,7.78,6.74,333.94,*7A
99344,859,,,-2.09,-0.9,5.36,-0.12,0.15,0.95,0.16,-0.06,-0.49,8.7,7.11,335.22,*7A
99401,857,,,-5.79,0.18,2.96,-0.13,0.15,0.96,0.16,-0.06,-0.49,8.83,7.4,335.54,*7A
99459,847,,,-3.42,-4.03,4.75,-0.11,0.14,0.94,0.16,-0.06,-0.49,8.34,6.61,333.01,*7A
99515,848,,,-3.05,-1.88,4.8,-0.14,0.14,0.94,0.16,-0.06,-0.49,8.68,8.45,335.26,*7A
99572,848,GPGGA,190715.*,-1.09,-1.23,6.82,-0.12,0.14,0.96,0.15,-0.06,-0.5,8.26,6.81,334.85,*7A
99631,858,,,1.87,-0.34,4.36,-0.14,0.14,0.95,0.16,-0.06,-0.49,,8.23,335.2,*7A
99764,830,,,4.59,3.51,0.58,-0.12,0.14,0.96,0.16,-0.06,-0.5,8.33,6.95,335.24,*7A
99831,844,,,1.72,1.21,1.92,-0.15,0.09,0.95,0.16,-0.06,-0.5,5.49,8.95,338.08,*7A
99889,852,,,-3.89,-9.35,-4.04,-0.12,0.11,0.99,0.15,-0.06,-0.49,6.11,6.97,335,*7A
99946,856,,,3.25,-3.93,-4.1,-0.13,0.13,0.94,0.15,-0.06,-0.5,7.79,7.65,335.85,*7A
100002,847,,,3.16,-2.12,-5.22,-0.15,0.11,0.95,0.15,-0.05,-0.49,6.53,8.8,339.02,*7A
100060,849,,,5.52,1.95,-1.62,-0.11,0.12,0.96,0.15,-0.05,-0.49,6.85,6.69,339.62,*7A
100117,862,,,1.41,2.98,0.14,-0.16,0.09,0.96,0.15,-0.06,-0.49,5.4,9.25,335.92,*7A
100174,847,,,0.28,-0.2,-0.64,-0.12,0.1,0.97,0.15,-0.06,-0.49,5.77,6.91,335.63,*7A
100231,,,,2.98,-4.28,-6.09,-0.14,0.09,0.92,0.15,-0.05,-0.48,5.61,8.38,338,*7A
100288,879,,,0.82,2.01,-8.83,-0.14,0.09,0.93,0.14,-0.05,-0.49,5.46,8.36,336.4,*7A
100345,852,,,0.78,2.24,-6.45,-0.14,0.08,0.96,0.15,-0.06,-0.49,4.96,8.29,335.92,*7A
100402,839,,,1.11,2.56,-3.91,-0.14,0.09,0.95,0.15,-0.06,-0.49,5.69,8.28,334.89,*7A
100459,864,,,0.8,3.57,-6.09,-0.12,0.09,0.96,0.15,-0.06,-0.49,5.06,6.85,332.82,*7A
100516,856,,,-1.15,2.29,-7.11,-0.15,0.07,0.95,0.15,-0.06,-0.5,4.36,9.07,330.36,*7A
100573,871,,,-1.79,2.13,-5.29,-0.14,0.07,0.96,0.15,-0.05,-0.5,3.94,8.02,336.73,*7A
100630,853,GPGGA,190716,-0.59,5.81,-5.15,-0.14,0.11,0.97,0.15,-0.07,,6.42,8.07,330.31,*7A
100771,854,,,-2.01,-2.91,-12.04,,0.11,0.97,0.16,-0.07,-0.49,7.73,5.86,330.25,*7A
100841,851,,,-1.48,-1.3,-2.95,-0.11,0.12,0.93,0.15,-0.07,-0.49,7.13,6.51,328.19,*7A
100898,847,,,-2.51,1.43,-6.36,-0.12,0.11,0.95,0.15,-0.07,-0.5,6.69,7.4,325.75,*7A
100956,865,,,-0.81,-2.88,-11,-0.11,0.12,0.95,0.15,-0.08,-0.49,7.07,6.67,324.45,*7A
101012,851,,,-3.09,-3.06,-14.74,-0.13,0.1,0.94,0.15,-0.07,-0.5,6.07,7.56,326.21,*7A
101069,859,,,-3.14,-0.86,-9.53,-0.13,0.11,0.97,0.15,-0.08,-0.49,6.57,7.45,324.07,*7A
101127,850,,,-2.46,0.38,-11.16,-0.1,0.1,0.97,0.15,-0.08,-0.5,6.11,6.09,321.46,*7A
101183,846,,,,0.38,-11.16,-0.09,0.12,0.96,0.15,-0.08,-0.49,7.21,5.39,323.86,*7A
101240,853,,,0.31,2.09,-16.69,-0.1,0.13,0.96,0.15,-0.08,-0.49,7.73,5.76,322.16,*7A
101298,833,,,-0.21,0.95,-16.41,-0.1,0.12,0.95,0.15,-0.09,-0.49,7.24,5.71,318.94,*7A
101355,871,,,-1.92,-1.01,-20.06,-0.11,0.13,0.95,0.16,-0.09,-0.5,7.76,6.51,317.21,*7A
101411,860,,,0.7,-0.32,-21.27,-0.11,0.13,0.96,0.16,-0.09,-0.49,7.52,6.67,319.73,*7A
101469,855,,,2.12,1.25,-18.59,-0.14,0.13,0.94,0.16,-0.1,-0.5,8.21,8.2,313.03,*7A
101526,846,,,0.79,1.65,-14.87,-0.11,0.11,0.97,0.16,-0.1,-0.49,6.56,6.65,313.14,*7A
101583,854,,,2.52,-1.85,-13.97,-0.1,0.13,0.96,0.16,-0.1,-0.49,7.54,6.02,314.1,*7A
,861,GPGGA,190717,0.55,0.25,-15.6,-0.13,0.11,0.95,0.16,-0.1,-0.5,6.82,7.54,312.28,*7A
101781,860,,,-1.72,,-15.6,-0.14,0.12,0.97,0.16,-0.11,-0.49,7.23,7.9,309.05,*7A
101876,893,,,0.3,4.24,-2.05,-0.12,0.13,0.96,0.16,-0.11,-0.49,7.68,6.98,308.02,*7A
101934,881,,,-1.91,1.26,-2.38,-0.11,0.12,0.96,0.16,-0.11,-0.49,6.86,6.66,309.37,*7A
101991,,,,-3.59,-2,-2.82,-0.07,0.1,0.98,0.16,-0.11,-0.5,5.89,4.03,306.9,*7A
102047,867,,,-2.59,-2.85,-5.44,-0.11,0.1,0.95,0.16,-0.11,-0.49,6.14,6.28,307.17,*7A
102105,844,,,-2.7,-1.6,2.73,-0.06,0.09,0.95,0.16,-0.11,-0.49,5.5,3.51,307.83,*7A
102162,845,,,0.08,2.91,3.66,-0.1,0.11,0.97,0.16,-0.11,-0.49,6.35,5.62,308.27,*7A
102218,856,,,1.9,2.81,7.41,-0.06,0.09,0.95,0.16,-0.11,-0.49,5.68,3.32,308.24,*7A
102276,868,,,-2.88,5.36,2.8,-0.16,0.11,0.98,0.16,-0.1,-0.49,6.46,9.14,310.84,*7A
102333,859,,,-1.6,-2.6,4.38,0.06,0.14,1,0.16,-0.11,-0.49,8.04,-3.27,308.79,*7A
102389,845,,,0.55,-0.51,2.26,-0.1,0.13,0.96,0.16,-0.1,-0.49,7.82,6.06,310.44,*7A
102447,854,,,2.54,-9.97,0.57,-0.1,0.11,0.92,0.16,-0.1,-0.49,6.82,5.99,310.92,*7A
102447,859,,,-2.77,1.2,5.46,-0.08,0.11,0.96,0.15,-0.1,-0.49,6.29,4.94,310.22,*7A
102560,858,,,-2.22,0.17,6.95,-0.11,0.1,0.95,0.15,-0.1,-0.49,6.21,6.76,308.06,*7A
102619,847,GPGGA,190718,0.12,1.91,4.48,-0.12,0.12,0.98,0.15,-0.1,-0.48,7.01,,307.15,*7A
102757,869,,,-2.58,-0.56,4.21,-0.12,0.11,0.94,0.15,-0.1,-0.49,6.84,7.07,309.1,*7A
102832,875,,,1.16,-2.12,3.19,-0.1,0.11,0.96,0.14,-0.1,-0.49,6.36,5.77,304.68,*7A
102889,881,,,1.65,-1.57,2.24,-0.1,0.1,0.96,0.14,-0.1,-0.48,6.01,6.14,306.41,*7A
102946,854,,,1.47,-0.25,3.76,-0.11,0.11,0.96,0.14,-0.1,-0.48,6.73,6.37,306.23,*7A
103003,893,,,0.42,0.17,2.22,-0.12,0.09,0.96,0.14,-0.1,-0.48,5.63,7.21,306.83,*7A
103060,888,,,0.47,0.89,6.64,-0.12,0.1,0.95,0.14,-0.1,-0.49,5.99,7.3,306.77,*7A
